pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,815.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,820.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,827.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,829.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,826.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,822.82
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,817.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,818.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,823.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,828.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,831.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,826.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,823.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,818.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,820.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,824.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,829.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,832.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,828.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,824.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,819.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,821.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,825.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,831.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,833.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,830.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,825.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,821.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,816.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,820.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,825.94
